ID;Geslacht;LeeftijdOp31December;Marges;Perioden;Levensverwachting_1;LVInAlsGoedErvarenGezondheid_2;LVZonderMatigeEnErnstigeBeperking_3;LVZonderErnstigeBeperkingen_4;LVZonderLichteMatigeErnstigeBep_5;LVZonderChronischeZiektes_6;LVZonderChrZiekExclHogeBloeddruk_7;LVZonderPsychischeKlachtenMHI5_8;LVZonderGALIBeperkingen_9;LVZonderErnstigeGALIBeperkingen_10
2435;3000;15000;B000150;1997JJ00;       .;     0.4;     0.3;       .;       .;     0.4;       .;       .;       .;       .
2436;3000;15000;B000150;1998JJ00;       .;     0.4;     0.4;       .;       .;     0.4;       .;       .;       .;       .
2437;3000;15000;B000150;1999JJ00;       .;     0.4;     0.4;       .;       .;     0.4;       .;       .;       .;       .
2438;3000;15000;B000150;2000JJ00;       .;     0.4;     0.4;       .;       .;     0.4;       .;       .;       .;       .
2439;3000;15000;B000150;2001JJ00;       .;     0.4;     0.4;     0.3;     0.4;     0.4;     0.4;     0.3;       .;       .
2440;3000;15000;B000150;2002JJ00;       .;     0.4;     0.4;     0.3;     0.4;     0.4;     0.4;     0.2;       .;       .
2441;3000;15000;B000150;2003JJ00;       .;     0.4;     0.4;     0.3;     0.4;     0.4;     0.4;     0.2;       .;       .
2442;3000;15000;B000150;2004JJ00;       .;     0.4;     0.3;     0.3;     0.4;     0.4;     0.4;     0.2;       .;       .
2443;3000;15000;B000150;2005JJ00;       .;     0.4;     0.3;     0.3;     0.4;     0.4;     0.4;     0.2;       .;       .
2444;3000;15000;B000150;2006JJ00;       .;     0.4;     0.4;     0.3;     0.4;     0.4;     0.4;     0.3;       .;       .
2445;3000;15000;B000150;2007JJ00;       .;     0.4;     0.4;     0.3;     0.4;     0.4;     0.4;     0.3;       .;       .
2446;3000;15000;B000150;2008JJ00;       .;     0.4;     0.4;     0.3;     0.4;     0.4;     0.4;     0.3;       .;       .
2447;3000;15000;B000150;2009JJ00;       .;     0.4;     0.4;     0.3;     0.4;     0.4;     0.4;     0.2;       .;       .
2448;3000;15000;B000150;2010JJ00;       .;     0.3;     0.3;     0.3;     0.3;     0.3;     0.4;     0.2;       .;       .
2449;3000;15000;B000150;2011JJ00;       .;     0.3;     0.3;     0.3;     0.4;     0.3;     0.4;     0.2;       .;       .
2450;3000;15000;B000150;2012JJ00;       .;     0.3;     0.3;     0.2;     0.4;     0.4;     0.4;     0.2;       .;       .
2451;3000;15000;B000150;2013JJ00;       .;     0.3;     0.3;     0.3;     0.4;     0.4;     0.4;     0.3;       .;       .
2452;3000;15000;B000150;2014JJ00;       .;     0.4;     0.3;     0.3;     0.4;     0.3;     0.3;     0.2;     0.4;     0.3
2453;3000;15000;B000150;2015JJ00;       .;     0.4;     0.4;     0.3;     0.4;     0.3;     0.3;     0.2;     0.4;     0.2
2454;3000;15000;B000150;2016JJ00;       .;     0.4;     0.3;     0.2;     0.4;     0.3;     0.3;     0.2;     0.4;     0.2
2455;3000;15000;B000150;2017JJ00;       .;     0.3;     0.3;     0.2;     0.3;     0.3;     0.3;     0.2;     0.3;     0.2
2456;3000;15000;B000150;2018JJ00;       .;     0.3;     0.3;     0.2;     0.3;     0.3;     0.3;     0.2;     0.3;     0.2
2457;3000;15000;B000150;2019JJ00;       .;     0.3;     0.3;     0.2;     0.3;     0.3;     0.3;     0.2;     0.4;     0.2
2458;3000;15000;B000150;2020JJ00;       .;     0.3;     0.3;     0.2;     0.3;     0.3;     0.3;     0.2;     0.3;     0.2
2459;3000;15000;B000150;2021JJ00;       .;     0.3;     0.3;     0.2;     0.3;     0.3;     0.3;     0.2;     0.3;     0.2
2460;3000;15500;MW00000;1981JJ00;   21.81;    13.9;       .;       .;       .;    12.1;       .;       .;       .;       .
2461;3000;15500;MW00000;1982JJ00;   21.82;    13.1;       .;       .;       .;    11.3;       .;       .;       .;       .
2462;3000;15500;MW00000;1983JJ00;   21.89;    13.5;    15.6;       .;       .;    11.1;       .;       .;       .;       .
2463;3000;15500;MW00000;1984JJ00;   21.96;    13.2;    15.6;       .;       .;    11.1;       .;       .;       .;       .
2464;3000;15500;MW00000;1985JJ00;   21.90;    13.9;    15.8;       .;       .;    10.7;       .;       .;       .;       .
2465;3000;15500;MW00000;1986JJ00;   21.94;    14.0;    15.9;       .;       .;    10.7;       .;       .;       .;       .
2466;3000;15500;MW00000;1987JJ00;   22.26;    14.3;    16.0;       .;       .;    11.0;       .;       .;       .;       .
2467;3000;15500;MW00000;1988JJ00;   22.38;    14.2;    16.2;       .;       .;    10.6;       .;       .;       .;       .
2468;3000;15500;MW00000;1989JJ00;   22.28;    13.8;    16.5;       .;       .;    10.3;       .;       .;       .;       .
2469;3000;15500;MW00000;1990JJ00;   22.50;    14.5;    16.5;       .;       .;    10.8;       .;       .;       .;       .
2470;3000;15500;MW00000;1991JJ00;   22.66;    13.1;    16.7;       .;       .;     9.9;       .;       .;       .;       .
2471;3000;15500;MW00000;1992JJ00;   22.86;    13.8;    16.5;       .;       .;    10.0;       .;       .;       .;       .
2472;3000;15500;MW00000;1993JJ00;   22.55;    14.0;    16.3;       .;       .;    10.2;       .;       .;       .;       .
2473;3000;15500;MW00000;1994JJ00;   23.01;    14.5;    16.6;       .;       .;    10.0;       .;       .;       .;       .
2474;3000;15500;MW00000;1995JJ00;   23.02;    14.1;    16.2;       .;       .;     9.5;       .;       .;       .;       .
2475;3000;15500;MW00000;1996JJ00;   23.08;    15.0;    18.2;       .;       .;     9.3;       .;       .;       .;       .
2476;3000;15500;MW00000;1997JJ00;   23.41;    14.5;    18.2;       .;       .;     8.9;       .;       .;       .;       .
