ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
360;1100;10000;2001W137;2403
361;1100;10000;2001W138;2577
362;1100;10000;2001W139;2588
363;1100;10000;2001W140;2607
364;1100;10000;2001W141;2567
365;1100;10000;2001W142;2701
366;1100;10000;2001W143;2568
367;1100;10000;2001W144;2519
368;1100;10000;2001W145;2535
369;1100;10000;2001W146;2674
370;1100;10000;2001W147;2749
371;1100;10000;2001W148;2757
372;1100;10000;2001W149;2768
373;1100;10000;2001W150;2797
374;1100;10000;2001W151;2982
375;1100;10000;2001W152;2900
376;1100;10000;2001W153;424
378;1100;10000;2002W101;2522
379;1100;10000;2002W102;3145
380;1100;10000;2002W103;3032
381;1100;10000;2002W104;3079
382;1100;10000;2002W105;2938
383;1100;10000;2002W106;2859
384;1100;10000;2002W107;2778
385;1100;10000;2002W108;2957
386;1100;10000;2002W109;3231
387;1100;10000;2002W110;3015
388;1100;10000;2002W111;3088
389;1100;10000;2002W112;2938
390;1100;10000;2002W113;2903
391;1100;10000;2002W114;2795
392;1100;10000;2002W115;2874
393;1100;10000;2002W116;2778
394;1100;10000;2002W117;2780
395;1100;10000;2002W118;2638
396;1100;10000;2002W119;2590
397;1100;10000;2002W120;2620
398;1100;10000;2002W121;2555
399;1100;10000;2002W122;2641
400;1100;10000;2002W123;2658
401;1100;10000;2002W124;2525
402;1100;10000;2002W125;2665
403;1100;10000;2002W126;2556
404;1100;10000;2002W127;2568
405;1100;10000;2002W128;2548
406;1100;10000;2002W129;2500
407;1100;10000;2002W130;2612
408;1100;10000;2002W131;2792
409;1100;10000;2002W132;2461
410;1100;10000;2002W133;2497
411;1100;10000;2002W134;2624
412;1100;10000;2002W135;2362
413;1100;10000;2002W136;2469
414;1100;10000;2002W137;2456
415;1100;10000;2002W138;2372
416;1100;10000;2002W139;2434
417;1100;10000;2002W140;2557
418;1100;10000;2002W141;2518
419;1100;10000;2002W142;2606
420;1100;10000;2002W143;2712
421;1100;10000;2002W144;2681
422;1100;10000;2002W145;2666
423;1100;10000;2002W146;2637
424;1100;10000;2002W147;2720
425;1100;10000;2002W148;2696
426;1100;10000;2002W149;2676
427;1100;10000;2002W150;3011
428;1100;10000;2002W151;3023
429;1100;10000;2002W152;3127
430;1100;10000;2002W153;870
432;1100;10000;2003W101;2141
433;1100;10000;2003W102;2987
434;1100;10000;2003W103;2981
435;1100;10000;2003W104;2963
436;1100;10000;2003W105;2821
437;1100;10000;2003W106;2745
438;1100;10000;2003W107;2736
439;1100;10000;2003W108;2923
440;1100;10000;2003W109;3021
441;1100;10000;2003W110;2991
442;1100;10000;2003W111;2983
443;1100;10000;2003W112;2898
444;1100;10000;2003W113;2914
445;1100;10000;2003W114;2948
446;1100;10000;2003W115;2730
447;1100;10000;2003W116;2924
448;1100;10000;2003W117;2844
449;1100;10000;2003W118;2577
450;1100;10000;2003W119;2554
451;1100;10000;2003W120;2560
452;1100;10000;2003W121;2590
453;1100;10000;2003W122;2610
454;1100;10000;2003W123;2853
455;1100;10000;2003W124;2487
456;1100;10000;2003W125;2464
457;1100;10000;2003W126;2541
458;1100;10000;2003W127;2392
